TeD,TrD1,TrD2,TrD3,TrD4,TrD5,TrD6,TrD7,TrD8,model,score,Sum
TeD4,1,1,0,1,0,1,1,1,M3,0.546971201588878,6
TeD4,1,1,0,0,1,1,0,0,M3,0.507447864945382,4
TeD4,0,0,1,0,1,0,0,0,M3,0.501688182720953,2
TeD4,0,0,0,1,1,0,0,1,M3,0.555312810327706,3
TeD4,0,1,1,0,0,0,0,1,M3,0.52850049652433,3
TeD4,1,1,1,1,1,1,1,0,M3,0.513604766633565,7
TeD4,0,1,0,0,0,1,1,1,M3,0.542999006951341,4
TeD4,0,0,0,0,1,0,0,1,M3,0.52214498510427,2
TeD4,1,0,1,1,0,0,0,0,M3,0.458589870903674,3
TeD4,1,0,1,1,0,1,1,1,M3,0.571797418073486,6
TeD4,1,1,0,1,0,0,0,0,M3,0.406554121151937,3
TeD4,0,1,0,1,0,0,0,0,M3,0.411717974180735,2
TeD4,1,1,0,0,0,0,0,1,M3,0.482423038728898,3
TeD4,0,0,1,1,1,0,1,1,M3,0.548957298907647,5
TeD4,0,0,1,0,0,0,1,0,M3,0.512214498510427,2
TeD4,1,1,1,1,1,1,1,1,M3,0.585700099304866,8
TeD4,1,1,1,1,1,1,1,1,M3,0.542800397219464,8
TeD4,1,1,1,1,1,1,1,1,M3,0.567825223435948,8
TeD4,1,1,1,1,1,1,1,1,M3,0.572194637537239,8
TeD4,1,1,1,1,1,1,1,1,M3,0.574776564051638,8
TeD5,1,1,0,0,0,1,0,0,M3,0.042778730050862,3
TeD5,1,1,1,0,1,1,1,0,M3,0.0555561156338094,6
TeD5,0,1,1,0,0,0,0,0,M3,0.0437297474355231,2
TeD5,0,0,1,0,0,0,0,1,M3,0.0544796751466284,2
TeD5,0,1,0,1,1,1,1,1,M3,0.0563145339250836,6
TeD5,1,0,1,0,0,1,0,0,M3,0.0516014422798913,3
TeD5,1,0,1,1,1,1,0,1,M3,0.05608210783766,6
TeD5,1,1,1,0,1,1,0,1,M3,0.0564561444158158,6
TeD5,0,0,0,0,0,1,1,0,M3,0.0499165731853128,2
TeD5,1,0,0,0,0,1,0,0,M3,0.0459776972516996,2
TeD5,0,1,0,0,1,0,1,0,M3,0.051440126999592,3
TeD5,1,0,1,1,1,1,1,1,M3,0.0554252282791367,7
TeD5,1,1,0,0,0,0,0,0,M3,0.0323196536143078,2
TeD5,0,1,1,0,1,1,0,0,M3,0.0546492962163103,4
TeD5,0,0,0,0,0,1,0,1,M3,0.0561427945307531,2
TeD5,0,1,0,0,0,1,0,1,M3,0.053202351807204,3
TeD5,0,0,1,1,1,1,1,1,M3,0.0584002098992884,6
TeD5,0,0,0,0,1,1,0,0,M3,0.0504013286479475,2
TeD5,0,1,0,0,0,0,0,1,M3,0.0532726366906923,2
TeD5,0,1,0,0,1,1,1,0,M3,0.0533594818649123,4
TeD5,0,1,0,0,0,1,0,0,M3,0.0427446071729733,2
TeD5,0,1,0,1,0,1,0,1,M3,0.0551349144165045,4
TeD5,1,1,0,0,1,0,0,0,M3,0.051823310918831,3
TeD5,0,1,0,0,1,1,0,1,M3,0.0582947165607482,4
TeD5,0,0,1,0,0,1,0,1,M3,0.0572120234826457,3
TeD5,0,1,0,1,0,1,0,0,M3,0.0479535755535026,3
TeD5,1,1,1,1,1,0,1,0,M3,0.053690751930784,6
TeD5,0,1,1,0,0,0,1,0,M3,0.0512421889751127,3
TeD5,1,1,0,1,1,0,1,1,M3,0.053320845296142,6
TeD5,0,1,1,0,0,1,1,0,M3,0.0526516538535638,4
TeD5,1,1,1,1,1,0,1,1,M3,0.055290728699443,7
TeD5,1,1,1,0,0,1,1,1,M3,0.0533881093037236,6
TeD5,1,0,1,0,0,0,0,0,M3,0.0457115203439901,2
TeD5,1,0,1,1,1,0,0,0,M3,0.0571244685935109,4
TeD5,0,1,0,0,0,0,1,0,M3,0.0473186618169612,2
TeD5,1,1,1,0,0,1,0,0,M3,0.0505623758365516,4
TeD5,0,1,1,1,1,1,1,1,M3,0.0529756089824023,7
TeD5,0,1,1,0,1,1,0,1,M3,0.0581775051701005,5
TeD5,0,0,1,0,0,1,0,0,M3,0.0492065420846905,2
TeD5,0,1,1,1,0,1,0,0,M3,0.0483211664670079,4
TeD5,0,1,0,0,0,0,1,1,M3,0.0553263338388202,3
TeD5,1,0,0,1,0,0,0,0,M3,0.046770495910766,2
TeD5,1,1,1,0,0,0,0,0,M3,0.0459066593771543,3
TeD5,0,1,1,0,1,1,1,0,M3,0.0553881610744537,5
TeD5,0,1,0,0,1,0,0,0,M3,0.0510727444769447,2
TeD5,1,1,1,1,1,1,0,1,M3,0.0561124277602396,7
TeD5,0,1,1,0,1,0,0,1,M3,0.0553238887398725,4
